candidate_id,candidate_name,candidate_type,region_code,region_name,latitude,longitude,covered_grid_ids
candidate_c651a8f316bc91a7,유촌 경로당(구정3구),마을회관및경로당,48890340,야로면,35.7066709,128.1615238,"[""라마59b45b""]"
candidate_c667981706130c44,운곡경로당,마을회관및경로당,48890420,쌍백면,35.46550244,128.1393457,[]
candidate_c6c56855689c6b9d,낙민경로당,마을회관및경로당,48890350,율곡면,35.57853973,128.2255036,"[""라마65b31b""]"
candidate_c6da344f148ea613,자경 경로당(묵촌1구),마을회관및경로당,48890340,야로면,35.7048421,128.1539171,"[""라마59a45b""]"
candidate_c7d85427f5451645,청현2구 경로당,마을회관및경로당,48890330,가야면,35.72467663,128.1219099,"[""라마56a47b""]"
candidate_c7f9ffd4a8482b49,성기2구 경로당,마을회관및경로당,48890330,가야면,35.7176215,128.1055459,"[""라마54b46b"",""라마54b47a""]"
candidate_c82cf6d99ba04a0b,평학경로당,마을회관및경로당,48890450,대병면,35.5459191,128.0513076,"[""라마49b27b""]"
candidate_c8335276fcbf7294,야로2구 경로당,마을회관및경로당,48890340,야로면,35.7156317,128.1735669,"[""라마60b46b""]"
candidate_c930572b9aefe829,보림경로당,경로당,48890250,합천읍,35.5962161,128.1487869,"[""라마58b33a"",""라마58b33b""]"
candidate_c96f9fdb248412be,샛담경로당,마을회관및경로당,48890350,율곡면,35.56713168,128.2087136,"[""라마64a30a""]"
candidate_c99ddc1154a4362d,장전경로당,마을회관및경로당,48890420,쌍백면,35.4697101,128.1536001,"[""라마59a19a"",""라마59a19b""]"
candidate_c9c2efa094dbe7ea,외동마을경로당,마을회관,48890430,삼가면,35.41020184,128.0903197,"[""라마53b12b""]"
candidate_cb9d42bffc1250bd,하림2구 경로당,마을회관및경로당,48890340,야로면,35.7457992,128.1506898,"[""라마58b50a""]"
candidate_cba372bf6b3148d6,할머니경로당,경로당,48890250,합천읍,35.5650955,128.1599044,"[""라마59b30a""]"
candidate_cc4495ab42795c26,평산경로당,마을회관및경로당,48890400,적중면,35.5391096,128.2861684,"[""라마71a27a""]"
candidate_cca2f07a56f9db36,하안경로당,마을회관및경로당,48890420,쌍백면,35.441416,128.1381697,"[""라마57b16a""]"
candidate_ccecda85fefc20b2,기리경로당,마을회관및경로당,48890350,율곡면,35.6306212,128.2221011,"[""라마65a37a""]"
candidate_ccf8c06063e5c7dc,송곡경로당,마을회관및경로당,48890430,삼가면,35.4126067,128.078599,"[""라마52b13a""]"
candidate_cd31da082307ebc9,보탑 경로당(정대3구),마을회관및경로당,48890340,야로면,35.6874307,128.1718706,"[""라마60b43b""]"
candidate_ce0409d4e5b67fc0,외삼학경로당,마을회관및경로당,48890390,청덕면,35.5871121,128.3525689,"[""라마77a32b""]"
candidate_ce1fc67abb9391ac,창동경로당,마을회관및경로당,48890370,쌍책면,35.629056,128.2504086,"[""라마67b37a""]"
candidate_ceb8c7bddc66b324,평촌경로당,마을회관및경로당,48890320,묘산면,35.6742903,128.1354437,"[""라마57a42a"",""라마57b42a""]"
candidate_cf083b217addc483,배미동경로당,마을회관및경로당,48890410,대양면,35.5069201,128.1792789,"[""라마61b23b""]"
candidate_cf1469ddd09c900c,수남경로당,마을회관및경로당,48890350,율곡면,35.5743133,128.2289667,"[""라마66a31a""]"
candidate_cf8fef1ef0bea912,고품1구경로당,마을회관및경로당,48890460,용주면,35.5365976,128.0971992,"[""라마54a26b""]"
candidate_cfde86bc75a3845d,적교마을경로당,마을회관,48890390,청덕면,35.5260355,128.3585204,"[""라마77b25b""]"
candidate_cfea183c64f806a6,청덕경로당,마을회관및경로당,48890390,청덕면,35.5588369,128.3200048,"[""라마74a29a"",""라마74a29b""]"
candidate_d0305b5386360609,계촌경로당,마을회관및경로당,48890370,쌍책면,35.5818612,128.2902044,"[""라마71b32a""]"
candidate_d043d8b46727f8d2,일부경로당,마을회관및경로당,48890430,삼가면,35.4111889,128.124553,"[""라마56b12b"",""라마56b13a""]"
candidate_d0c3ca302ee444e1,송정2구경로당,마을회관및경로당,48890390,청덕면,35.6149622,128.3001371,"[""라마72a35b"",""라마72b35b""]"
candidate_d0e34bc4102d0ec5,하판경로당,마을회관및경로당,48890430,삼가면,35.4242451,128.1113031,[]
candidate_d1a89824b3db9efd,나대2구 경로당,마을회관및경로당,48890340,야로면,35.73503561,128.16633,"[""라마60a48b"",""라마60a49a""]"
candidate_d2c33f681810ec29,장단2구경로당,마을회관및경로당,48890450,대병면,35.5082726,128.0397306,"[""라마48b23b""]"
candidate_d32d7fbd9beae2fe,하금2구경로당,마을회관및경로당,48890450,대병면,35.52780414,127.9967146,"[""라마45a25b""]"
candidate_d448e5a1b3be1b65,관수경로당,마을회관및경로당,48890370,쌍책면,35.5829094,128.2735817,"[""라마70a32a""]"
candidate_d5cd2c58d91df59e,노곡3구경로당,마을회관및경로당,48890310,봉산면,35.5891109,127.9936409,"[""라마44b32b""]"
candidate_d7202bcd7ed958d6,장동경로당,마을회관및경로당,48890360,초계면,35.54400972,128.2592493,"[""라마68b27b""]"
candidate_d786ad04249004eb,병배경로당,마을회관및경로당,48890380,덕곡면,35.62470788,128.3400491,"[""라마76a36b""]"
candidate_d88b9f04378237f4,안구경로당,마을회관및경로당,48890420,쌍백면,35.4350246,128.1384942,"[""라마57b15b""]"
candidate_d8ed2169bed502db,쌍책경로당,경로당,48890370,쌍책면,35.5747405,128.2863613,"[""라마71a31a""]"
candidate_da220e14af8f919f,무곡새마을회경로당,마을회관및경로당,48890410,대양면,35.5224209,128.1928972,"[""라마62b25a""]"
candidate_da30e3b1f77ec70d,내삼학경로당,마을회관및경로당,48890390,청덕면,35.5888908,128.3389597,"[""라마75b32b"",""라마76a32b""]"
candidate_da86b9c454c04ba6,봉곡(봉곡2구)경로당,마을회관및경로당,48890320,묘산면,35.638942,128.1051737,"[""라마54b38a""]"
candidate_dab881df4f07303e,대동할머니경로당,경로당,48890360,초계면,35.5619687,128.2495378,"[""라마67b29b""]"
candidate_dac6552d38300016,대목경로당,마을회관및경로당,48890410,대양면,35.5275512,128.1678793,"[""라마60b25b""]"
candidate_dac7f0337778c47c,외사경로당,마을회관및경로당,48890440,가회면,35.4259144,128.0737633,"[""라마52a14b""]"
candidate_db0faff5f0679ab8,가천 경로당,마을회관및경로당,48890330,가야면,35.7416971,128.0940316,"[""라마53b49b""]"
candidate_db2348b916c3fdd3,내동경로당,마을회관및경로당,48890410,대양면,35.4968273,128.2209649,"[""라마65a22b""]"
candidate_dbeb5d8037b20794,궁동경로당,마을회관및경로당,48890390,청덕면,35.5805693,128.3164159,"[""라마73b31b""]"
candidate_dc43e24623746403,외촌경로당,마을회관및경로당,48890370,쌍책면,35.5769073,128.2848685,"[""라마71a31a"",""라마71a31b""]"
candidate_dc5e6fc9b111e6e8,병배경로당,마을회관및경로당,48890360,초계면,35.5265379,128.2484027,"[""라마67b25b""]"
candidate_dc68649eac8c7d89,중부경로당,마을회관및경로당,48890400,적중면,35.5467173,128.278431,"[""라마70b28a""]"
candidate_dd2eb179777cff38,가현경로당,마을회관및경로당,48890390,청덕면,35.5673735,128.3297678,"[""라마75a30a"",""라마75a30b""]"
candidate_dded9ad2a6a369d0,석장경로당,경로당,48890450,대병면,35.5083409,128.018223,"[""라마46b23b"",""라마47a23b""]"
candidate_deee01262039af72,관자경로당,마을회관및경로당,48890250,합천읍,35.6077357,128.1061483,"[""라마54b34b""]"
candidate_df15329bb2c3ff26,내동경로당,마을회관및경로당,48890360,초계면,35.55998254,128.2666252,"[""라마69a29b""]"
candidate_df5bf3f981780c0d,성은경로당,경로당,48890250,합천읍,35.56647768,128.1673894,"[""라마60a30a"",""라마60b30a""]"
candidate_df661c7f0548e8f3,사촌2구 경로당,마을회관및경로당,48890330,가야면,35.7513654,128.1181147,"[""라마55b50b""]"
candidate_e07d40225cf58db7,중리경로당,마을회관및경로당,48890360,초계면,35.56029731,128.2547005,"[""라마68a29b""]"
candidate_e090950bc3742567,안성경로당,마을회관및경로당,48890320,묘산면,35.67259955,128.12704,"[""라마56b41b"",""라마56b42a""]"
candidate_e131e39bc36cf578,공암경로당,마을회관및경로당,48890460,용주면,35.501502,128.1028206,"[""라마54b22b"",""라마54b23a""]"
candidate_e20d8a412916f2d7,하금경로당,마을회관및경로당,48890430,삼가면,35.4154679,128.1182281,"[""라마56a13a"",""라마56a13b""]"
candidate_e2fd50e79b1bc487,이부경로당,마을회관및경로당,48890430,삼가면,35.41291894,128.1237738,"[""라마56b13a""]"
candidate_e3399d70a42990c3,영전2구경로당,마을회관및경로당,48890350,율곡면,35.5604159,128.2132521,"[""라마64b29b""]"
candidate_e389052e49ff7c3d,대부마을경로당,마을회관및경로당,48890390,청덕면,35.53653107,128.337934,"[""라마75b27a""]"
candidate_e3b191fb9939a257,봉기경로당,마을회관및경로당,48890460,용주면,35.54863756,128.0879159,"[""라마53a28a""]"
candidate_e3f91431f4fb16ff,사양경로당,마을회관및경로당,48890370,쌍책면,35.6263153,128.2732858,[]
candidate_e4610ddd1e912e4e,평지본동경로당,마을회관및경로당,48890420,쌍백면,35.4386645,128.1683664,"[""라마60b16a""]"
candidate_e48230139ffb6dfd,검암경로당,마을회관및경로당,48890440,가회면,35.4859561,128.0338125,"[""라마48a21a""]"
candidate_e4f1d56e124fcb0f,노양1구샛담경로당,마을회관및경로당,48890350,율곡면,35.63273002,128.1957343,"[""라마62b37b"",""라마63a37b""]"
candidate_e5bcc95931ad68f6,부곡경로당,마을회관및경로당,48890390,청덕면,35.53401073,128.3374164,"[""라마75b26b""]"
candidate_e5c4407eb10e8d34,동곡경로당,마을회관및경로당,48890440,가회면,35.4432077,128.0026221,"[""라마45b16a"",""라마45b16b""]"
candidate_e7179d7492ff2067,정산경로당,마을회관및경로당,48890390,청덕면,35.6016551,128.3153841,"[""라마73b34a""]"
candidate_e84110f8f949c490,두사경로당,마을회관및경로당,48890350,율곡면,35.59757115,128.2302801,"[""라마66a33b""]"
candidate_e86ca9c5d21e2964,월곡경로당,마을회관및경로당,48890370,쌍책면,35.6258214,128.2497692,"[""라마67b36b""]"
candidate_e954ab83b9c93469,김봉할머니경로당,경로당,48890310,봉산면,35.6259199,128.041533,"[""라마48b36b"",""라마49a36b""]"
candidate_e96e5ad07b63b62b,하빈2구 경로당,마을회관및경로당,48890340,야로면,35.72675966,128.1874086,"[""라마62a48a""]"
candidate_e9c18c8df1c08b45,상부경로당,마을회관및경로당,48890400,적중면,35.5475712,128.2754609,"[""라마70a28a""]"
candidate_e9f12bf3e4e24797,학동경로당,마을회관및경로당,48890430,삼가면,35.4062314,128.0944551,"[""라마53b12a""]"
candidate_ea89f9527b480b32,공암아곡경로당,경로당,48890460,용주면,35.48892794,128.0955106,"[""라마53b21b"",""라마54a21b""]"
candidate_ec3a93b2d446f12a,구원2구 경로당,마을회관및경로당,48890330,가야면,35.7739687,128.1292415,"[""라마56b53a""]"
candidate_ec6244180e0790b2,우복 경로당(매촌2구),마을회관및경로당,48890340,야로면,35.71440197,128.1627447,"[""라마59b46b""]"
candidate_ece4d0934f2257b9,장유정경로당(주공a),경로당,48890250,합천읍,35.57256806,128.1623359,"[""라마60a30b""]"
candidate_edc2f81786c048ac,상대경로당,마을회관및경로당,48890380,덕곡면,35.6283613,128.3158754,"[""라마73b37a""]"
candidate_edec531083dd0a82,덕정할아버지경로당,마을회관및경로당,48890410,대양면,35.51669802,128.1742555,"[""라마61a24b""]"
candidate_ee32d00b54199c18,쌍백분회경로당,경로당,48890420,쌍백면,35.43960257,128.144555,"[""라마58a16a"",""라마58b16a""]"
candidate_eecffd0a007d8ce4,대밭골 경로당,마을회관및경로당,48890330,가야면,35.7469038,128.0714599,"[""라마51b50a""]"
candidate_f124b6dfd73c565c,이암경로당,마을회관및경로당,48890420,쌍백면,35.4536242,128.1180195,"[""라마56a17b""]"
candidate_f131519c6ccde308,손목1구할머니경로당,경로당,48890460,용주면,35.5522056,128.130032,"[""라마57a28b""]"
candidate_f142dc86ed3704ac,복암경로당,마을회관및경로당,48890440,가회면,35.4716279,128.0139064,"[""라마46b19b""]"
candidate_f168cb8cca6254e1,관동경로당,마을회관및경로당,48890410,대양면,35.5116176,128.172199,"[""라마60b24a""]"
candidate_f1d1a33a54a65559,유전경로당,마을회관및경로당,48890450,대병면,35.5397278,127.9875497,"[""라마44a27a""]"
candidate_f1fa56cc6438afa1,신점경로당,마을회관및경로당,48890430,삼가면,35.3740001,128.1019674,"[""라마54b08b""]"
candidate_f213643c1c6db4f4,상천경로당,마을회관및경로당,48890450,대병면,35.5442773,128.0275615,"[""라마47b27b""]"
candidate_f257094a55a47f11,매안2구 경로당,마을회관및경로당,48890330,가야면,35.7310534,128.1034154,"[""라마54b48a""]"
candidate_f25f718d6a88cd5c,토동경로당,마을회관및경로당,48890430,삼가면,35.3834145,128.1020893,"[""라마54b09b""]"
candidate_f2af77bd05826737,영전1구경로당,마을회관및경로당,48890350,율곡면,35.573135,128.2179085,"[""라마65a31a""]"
candidate_f34b04c981c6df9b,지동경로당,마을회관및경로당,48890430,삼가면,35.44641732,128.1053192,"[""라마54b16b""]"
candidate_f36212f1d3c917dc,중부할머니경로당,경로당,48890400,적중면,35.54509855,128.2792094,"[""라마70b27b""]"
candidate_f47ab76f0dcac19d,남암경로당,마을회관및경로당,48890410,대양면,35.5084285,128.1891014,"[""라마62a23b"",""라마62b23b""]"
candidate_f5354b88f342d4ba,백암경로당,마을회관및경로당,48890410,대양면,35.4974191,128.2128209,"[""라마64b22b""]"
candidate_f5e768ee56149ffd,학계 경로당,마을회관및경로당,48890330,가야면,35.744263,128.1082198,[]
candidate_f5ee3f100d1bb782,구평경로당,마을회관및경로당,48890440,가회면,35.4196594,128.030338,"[""라마48a13b""]"
candidate_f7abd4cf6fb14b2d,유천경로당,마을회관및경로당,48890390,청덕면,35.50371476,128.360736,"[""라마78a23a""]"
