grid_id,nearest_shelter_id,nearest_shelter_distance_m,current_covered,shelter_count
라마46a24a,SHELTER_099,1074.796740525145,False,0
라마46a24b,SHELTER_099,913.5646519053355,False,0
라마46a25a,SHELTER_099,1006.9819824497149,False,0
라마46a25b,SHELTER_099,1301.3166612111747,False,0
라마46a26a,SHELTER_099,1694.9446576550044,False,0
라마46a26b,SHELTER_001,1749.8355529540604,False,0
라마46a27a,SHELTER_001,1928.6258306053028,False,0
라마46a27b,SHELTER_001,2208.454375026558,False,0
라마46a28a,SHELTER_001,2556.353625512303,False,0
라마46a28b,SHELTER_001,2948.32443784022,False,0
라마46a29a,SHELTER_001,3369.0191633265904,False,0
라마46a29b,SHELTER_001,3808.932036011899,False,0
라마46a30a,SHELTER_001,4262.116421105095,False,0
라마46a30b,SHELTER_001,4724.754969217944,False,0
라마46a31a,SHELTER_001,5194.322155127232,False,0
라마46a31b,SHELTER_012,5488.979793031156,False,0
라마46a32a,SHELTER_012,5413.664522165872,False,0
라마46a32b,SHELTER_012,5383.923100194739,False,0
라마46a33a,SHELTER_012,5400.508525968978,False,0
라마46a33b,SHELTER_012,5462.998876928011,False,0
라마46a34a,SHELTER_012,5569.849290561621,False,0
라마46a34b,SHELTER_058,5434.247352707572,False,0
라마46a35a,SHELTER_058,5131.791625828339,False,0
라마46a35b,SHELTER_058,4862.049597796641,False,0
라마46a36a,SHELTER_058,4630.7415488177585,False,0
라마46a36b,SHELTER_058,4443.873118402427,False,0
라마46a37a,SHELTER_058,4307.232207923358,False,0
라마46a37b,SHELTER_058,4225.69406056389,False,0
라마46a38a,SHELTER_058,4202.467286487494,False,0
라마46b14b,SHELTER_034,719.0348674439579,False,0
라마46b15a,SHELTER_034,219.2472131478787,True,1
라마46b15b,SHELTER_034,281.29617904634364,True,1
라마46b16a,SHELTER_034,781.1438665310212,False,0
라마46b16b,SHELTER_034,1281.1104324342984,False,0
라마46b17a,SHELTER_034,1781.095769453444,False,0
라마46b17b,SHELTER_007,1590.4138129445132,False,0
라마46b18a,SHELTER_007,1320.5085885057156,False,0
라마46b18b,SHELTER_042,914.7212996313962,False,0
라마46b19a,SHELTER_042,425.0926912776098,False,0
라마46b19b,SHELTER_042,157.1385896459937,True,1
라마46b20a,SHELTER_042,607.1913014316186,False,0
라마46b20b,SHELTER_042,1101.212975183508,False,0
라마46b21a,SHELTER_042,1598.9555206105028,False,0
라마46b21b,SHELTER_011,1744.60822316159,False,0
라마46b22a,SHELTER_006,1811.0100435943,False,0
라마46b22b,SHELTER_066,1602.3398334312053,False,0
라마46b23a,SHELTER_066,1477.8792626873712,False,0
라마46b23b,SHELTER_099,1146.7092673734392,False,0
라마46b24a,SHELTER_099,703.1034658196263,False,0
라마46b24b,SHELTER_099,416.8534795524821,False,0
라마46b25a,SHELTER_099,594.2887876970697,False,0
라마46b25b,SHELTER_099,1016.1650963056613,False,0
라마46b26a,SHELTER_099,1487.2806872669782,False,0
라마46b26b,SHELTER_099,1972.6672761732466,False,0
라마46b27a,SHELTER_001,2381.4451906390145,False,0
라마46b27b,SHELTER_001,2613.2268038028474,False,0
라마46b28a,SHELTER_001,2913.181673052609,False,0
라마46b28b,SHELTER_001,3262.560435042629,False,0
라마46b29a,SHELTER_001,3647.1870975316715,False,0
라마46b29b,SHELTER_001,4057.0490330408197,False,0
라마46b30a,SHELTER_001,4485.233548946298,False,0
라마46b30b,SHELTER_001,4926.965914301555,False,0
라마46b31a,SHELTER_012,5129.968970809035,False,0
라마46b31b,SHELTER_012,4999.544582431144,False,0
라마46b32a,SHELTER_012,4916.737782510848,False,0
라마46b32b,SHELTER_012,4883.971213287685,False,0
라마46b33a,SHELTER_012,4902.248382372712,False,0
라마46b33b,SHELTER_012,4971.006295784482,False,0
라마46b34a,SHELTER_012,5088.198893811252,False,0
라마46b34b,SHELTER_058,5057.561374933437,False,0
라마46b35a,SHELTER_058,4731.085294277753,False,0
라마46b35b,SHELTER_058,4437.049589788672,False,0
라마46b36a,SHELTER_058,4182.302005206755,False,0
라마46b36b,SHELTER_058,3974.4044916526877,False,0
라마46b37a,SHELTER_058,3821.0119162051396,False,0
라마46b37b,SHELTER_058,3728.8568039406246,False,0
라마46b38a,SHELTER_058,3702.514559702217,False,0
라마47a14b,SHELTER_034,869.1620724074164,False,0
라마47a15a,SHELTER_034,535.2577958185348,False,0
라마47a15b,SHELTER_034,563.5238307804537,False,0
라마47a16a,SHELTER_034,921.2042703605096,False,0
라마47a16b,SHELTER_034,1371.0125847720728,False,0
라마47a17a,SHELTER_007,1690.594783352078,False,0
라마47a17b,SHELTER_007,1253.9687226601434,False,0
라마47a18a,SHELTER_007,886.9974032219958,False,0
라마47a18b,SHELTER_007,707.8779762326385,False,0
라마47a19a,SHELTER_042,746.0797144824343,False,0
라마47a19b,SHELTER_042,632.9484027473972,False,0
라마47a20a,SHELTER_042,862.9092772237253,False,0
라마47a20b,SHELTER_042,1260.3972234565827,False,0
라마47a21a,SHELTER_011,1172.5956807757009,False,0
라마47a21b,SHELTER_011,1273.2119607231375,False,0
라마47a22a,SHELTER_006,1318.2146201607181,False,0
라마47a22b,SHELTER_066,1160.0187656597532,False,0
라마47a23a,SHELTER_066,980.9575474829694,False,0
라마47a23b,SHELTER_066,1038.7068321931974,False,0
라마47a24a,SHELTER_099,577.5127131515508,False,0
라마47a24b,SHELTER_099,113.7245515229957,True,1
라마47a25a,SHELTER_099,438.5722442044727,False,0
라마47a25b,SHELTER_099,933.6797915527511,False,0
라마47a26a,SHELTER_099,1432.1907320330731,False,0
