shelter_id,facility_name,road_address,lot_address,region_code,region_name,latitude,longitude,geocoding_status,geocoding_source,geocoding_query,geocoding_query
SHELTER_022,노리경로당,경남 합천군 용주면 노리팔산길 68,경남 합천군 용주면 노리 286-1,48890460,용주면,35.5235398064815,128.123236262639,OK,kakao,경남 합천군 용주면 노리팔산길 68,경남 합천군 용주면 노리팔산길 68
SHELTER_023,노양2구경로당,경남 합천군 율곡면 노양1길 7,경남 합천군 율곡면 노양리 558-3,48890350,율곡면,35.6231427583191,128.193272106073,OK,kakao,경남 합천군 율곡면 노양1길 7,경남 합천군 율곡면 노양1길 7
SHELTER_024,대부경로당,경남 합천군 청덕면 대부1길 107-11,경남 합천군 청덕면 대부리 875-1,48890390,청덕면,35.5365310696192,128.337950421494,OK,kakao,경남 합천군 청덕면 대부1길 107-11,경남 합천군 청덕면 대부1길 107-11
SHELTER_025,대산경로당,경남 합천군 대병면 장단4길 3,경남 합천군 대병면 장단리 504-7,48890450,대병면,35.5096899173947,128.05133793022,OK,kakao,경남 합천군 대병면 장단4길 3,경남 합천군 대병면 장단4길 3
SHELTER_026,대양면복지회관,경남 합천군 대양면 대한로 6,경남 합천군 대양면 덕정리 925-3,48890410,대양면,35.5156615150096,128.174401575062,OK,kakao,경남 합천군 대양면 대한로 6,경남 합천군 대양면 대한로 6
SHELTER_027,대양야외쉼터,경남 합천군 대양면 대한로 5,경남 합천군 대양면 덕정리 870-3,48890410,대양면,35.5166980162374,128.174255512317,OK,kakao,경남 합천군 대양면 대한로 5,경남 합천군 대양면 대한로 5
SHELTER_028,대양정양야외쉼터,경남 합천군 대양면 정양2길 45,경남 합천군 대양면 정양리 293,48890410,대양면,35.542840443,128.162994761311,OK,kakao,경남 합천군 대양면 정양2길 45,경남 합천군 대양면 정양2길 45
SHELTER_029,도탄경로당,경남 합천군 가회면 서부로 1245,경남 합천군 가회면 도탄리 1073-3,48890440,가회면,35.4685476791985,128.035341243403,OK,kakao,경남 합천군 가회면 서부로 1245,경남 합천군 가회면 서부로 1245
SHELTER_030,독산경로당,"경남 합천군 덕곡면 학리3길 33 , 노인회관",경남 합천군 덕곡면 학리 495-1,48890380,덕곡면,35.6215872456505,128.353443731309,OK,kakao,"경남 합천군 덕곡면 학리3길 33 , 노인회관","경남 합천군 덕곡면 학리3길 33 , 노인회관"
SHELTER_031,동남경로당,경남 합천군 묘산면 거산1길 22-6,경남 합천군 묘산면 거산리 614-2,48890320,묘산면,35.6779418556752,128.144595089759,OK,kakao,경남 합천군 묘산면 거산1길 22-6,경남 합천군 묘산면 거산1길 22-6
SHELTER_032,둔덕경로당,경남 합천군 용주면 둔덕길 325,경남 합천군 용주면 용지리 627-1,48890460,용주면,35.5260827433129,128.088853645914,OK,kakao,경남 합천군 용주면 둔덕길 325,경남 합천군 용주면 둔덕길 325
SHELTER_033,매화2구경로당,경남 합천군 가야면 매화2길 1,경남 합천군 가야면 매화리 271-3,48890330,가야면,35.7349333094351,128.124207592821,OK,kakao,경남 합천군 가야면 매화2길 1,경남 합천군 가야면 매화2길 1
SHELTER_034,머금경로당,경남 합천군 가회면 동곡길 12,경남 합천군 가회면 덕촌리 814-7,48890440,가회면,35.4338948172195,128.015178232493,OK,kakao,경남 합천군 가회면 동곡길 12,경남 합천군 가회면 동곡길 12
SHELTER_035,무곡할머니경로당,경남 합천군 대양면 무곡길 151,경남 합천군 대양면 무곡리 839,48890410,대양면,35.5217538492207,128.186966512548,OK,kakao,경남 합천군 대양면 무곡길 151,경남 합천군 대양면 무곡길 151
SHELTER_036,무릉경로당,경남 합천군 초계면 무릉길 62,경남 합천군 초계면 상대리 663-1,48890360,초계면,35.5294429243605,128.242130339485,OK,kakao,경남 합천군 초계면 무릉길 62,경남 합천군 초계면 무릉길 62
